Word,Onset,Offset,Probability,item_num
DRYER MACHINE,330,2118,0.776,105
HELMET,2734,3280,1.0,165
PICKLE,4958,5463,0.907,
EGGS,6340,8148,0.992,113
BAGELS,8644,9330,0.923,13
OREGANO,10246,10972,0.88,230
WRENCH,12129,12615,0.9710000000000001,370
FISHBOWL,14353,14999,0.865,
MOUTHWASH,16056,16842,0.932,207
VITAMINS,18259,23473,0.995,358
DONT,37303,37528,0.803,
REMEMBER,37563,37829,0.731,
THE,37884,37949,0.923,
GYM,38044,38329,0.842,
ONE,38565,38750,0.918,
OR,39125,39230,0.936,
THE,39245,39391,0.755,
PARTY,39426,39691,0.966,
STORE,39706,39951,0.829,
ONE,40187,40432,0.891,
OR,40747,41013,0.77,
THE,41108,41333,0.879,
BOOKSTORE,41368,42134,0.861,
ONE,42309,49143,0.704,
BUT,49158,49223,0.213,
THATS,49298,49463,0.676,
MOST,49518,49723,0.898,
OF,49778,49824,0.952,
THEM,49879,50004,0.784,
DID,54825,54910,0.172,
IT,54925,54970,0.474,
SAY,54985,55110,0.799,
DRYER MACHINE,55145,55711,0.685,105
I,56026,56071,0.919,
THINK,56106,56211,0.889,
IT,56267,56332,0.638,
DID,56367,56512,0.945,
OK,57368,57493,0.745,
