Word,Onset,Offset,Probability,item_num
GOLD,26,1513,0.901,142
CONSTRUCTION_PAPER,2068,3314,0.899,80
COMPUTER,4391,5056,0.9770000000000001,77
BASIL,6132,6658,0.9790000000000001,19
PROTEIN_SHAKES,7314,8280,0.87,258
EYEDROPS,9216,9781,0.935,
MONEY,10477,10842,0.892,205
TOMATOES,10857,13585,0.9440000000000001,342
CARTONS,15542,16047,0.9620000000000001,53
COFFEE,16944,17549,0.993,72
ACTION_FIGURES,17565,20132,0.896,1
DAFFODILS,21108,27540,0.999,91
UM,42028,44376,0.362,
THERES,44391,44596,0.186,
THREE,44651,44917,0.781,
MORE,44932,45277,0.866,
OH,60592,60717,0.728,
UH,60892,60977,0.799,
DECALS,61052,61778,0.867,93
FROM,62274,62399,0.677,
THE,62414,62499,0.504,
BIKE,62514,62740,0.875,
SHOP,62775,63140,0.997,
AND,64397,64482,0.787,
CAGE,64576,65003,0.9640000000000001,44
FROM,65198,65363,0.908,
THE,65377,65462,0.798,
PET,65498,65663,0.852,
STORE,65678,66184,0.875,
AND,68403,69253,0.931,
IM,70335,70521,0.874,
JUST,70576,70763,0.862,
GONNA,70798,71044,0.559,
CHALK,71140,71447,0.9810000000000001,59
UP,71563,71648,0.99,
TO,71844,71990,0.976,
NOT,72106,72312,0.906,
REMEMBERING,72347,72936,0.949,
THE,72971,73077,0.76,
15TH,73092,73761,0.789,
