Word,Onset,Offset,Probability,item_num
BOARDGAME,1207,1993,0.826,
TUNIC,2549,3054,0.9520000000000001,349
TRAINING_WHEELS,3750,4677,0.863,348
GARLIC,7175,7741,0.9610000000000001,136
RICE,8457,8842,0.9520000000000001,271
LETTUCE,9438,9884,0.925,184
SODA,10860,11185,0.9500000000000001,304
SUGAR,11260,23001,0.9780000000000001,320
HM,33236,47781,0.841,
THE,47796,47902,0.96,
GELATERIE,47937,48442,0.43,
WAS,48537,48623,0.881,
SOMETHING,48678,48883,0.66,
THAT,48898,49003,0.659,
WAS,49018,49103,0.786,
NOT,49158,49644,0.585,
FOOD,49699,50145,0.713,
I,53364,53389,0.184,
<>,53404,53509,0.006,
<>,53524,53690,0.002,
<>,53705,53810,0.014,
SHOPS,53825,53950,0.236,
