Word,Onset,Offset,Probability,item_num
SO,26,792,0.69,
THERES,807,1033,0.69,
<>,1308,1333,0.001,
SPATULA,1348,1994,0.758,309
SWEET_AND_SOUR_SAUCE,2430,3436,0.809,324
BUNS,4112,4638,0.868,43
CEREAL,5494,6020,0.9470000000000001,57
CAT,7157,8544,0.9810000000000001,55
BUNNY_EARS,8559,9285,0.8500000000000001,42
I,15390,15415,0.394,
MIGHT,15430,15575,0.299,
<>,15590,15675,0.032,
SAID,15690,15775,0.205,
FLOSS,15790,16096,0.761,126
ALREADY,16131,25330,0.948,
JEANS,32932,33658,0.937,173
BLEACH,34334,34839,0.923,26
STICKERS,36296,37142,0.9550000000000001,315
CHECKS,42843,43288,0.9700000000000001,62
LAUNDRY BAG,46307,60227,0.928,181
