Word,Onset,Offset,Probability,item_num
TRAINSET,532,1478,0.907,
NOODLES,2615,3201,0.921,220
ONIONS,5619,6024,0.9520000000000001,227
SCARF,7181,7727,0.8360000000000001,287
TOOTHBRUSH,12188,12713,0.919,343
GLUE,17835,18221,0.916,141
PLATINUM,19337,19863,1.0,252
PEANUTS,21240,25971,0.93,237
HMM,40661,42308,0.17,
LETS,42323,42508,0.354,
SEE,42523,52261,0.634,
HMM,52276,65278,0.281,
WEEDS,65293,65698,0.656,
MAYBE,65813,66379,0.254,
AT,66394,66479,0.419,
THE,66494,66639,0.878,
GYM,66694,67180,0.909,
A,69163,69693,0.788,
LEASH,69708,70056,0.908,182
FROM,70334,70480,0.934,
THE,70516,70581,0.979,
PET,70637,70844,0.856,
STORE,70879,75043,0.802,
