Word,Onset,Offset,Probability,item_num
HOT_CHOCOLATE,380,1327,0.8610000000000001,166
TOFU,2945,3511,0.9560000000000001,340
ORANGE_JUICE,4367,5153,0.8340000000000001,228
CHERRIES,5669,6255,0.9720000000000001,64
SUNFLOWER,7152,7738,0.795,322
NOVEL,9917,10483,0.888,223
HAMSTER,11379,12025,0.912,156
KICKBOARD,12461,13107,0.915,178
EMBROIDERY,13323,13909,0.869,114
STUFFED_ANIMAL,19694,21242,0.9410000000000001,318
OINTMENT,23661,24267,0.9390000000000001,225
LETS,39243,44094,0.191,
SEE,44109,64221,0.953,
TOOTHPASTE,64316,64842,0.45699999999999996,344
I,64856,64882,0.628,
THINK,64917,65221,0.88,
YEAH,67998,68285,0.653,
I,68422,68447,0.144,
THINK,68462,68649,0.805,
TWOFACED,68684,75043,0.752,
