Word,Onset,Offset,Probability,item_num
SHIELD,600,1426,0.864,295
SHRIMP,2042,2548,0.93,297
BAKING_SODA,5368,6094,0.9570000000000001,15
PEONIES,6830,7356,0.913,244
CHEW_TOY,9094,9720,0.56,65
CONTACT_SOLUTION,10937,12324,0.997,81
SOMETHING,17988,18254,0.947,
ELSE,18289,18414,0.664,
THAT,18429,18554,0.453,
STARTED,18569,18795,0.382,
WITH,18810,18915,0.899,
A,18990,19015,0.517,
C,21474,21499,1.0,
LETS,27718,28384,0.173,
SEE,28399,28484,0.361,
GROCERY,29680,30766,0.888,
PAPER_BAGS,31382,32188,0.998,233
NOTEBOOK,36467,36992,0.8200000000000001,222
MAYBE,39250,53429,0.258,
IT,53444,53489,0.342,
WAS,53504,53629,0.796,
CHARGER,53764,54490,0.924,60
PIZZA_BOX,60742,61651,0.5750000000000001,250
VANILLA,63934,67433,0.91,354
